filename, language, YAML, Properties, Groovy, Markdown, Dart, Objective-C, C++, XML, JSON, Java, comment, blank, total
README.md, Markdown, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 7, 17
android\app\build.gradle, Groovy, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 3, 11, 62
android\app\src\debug\AndroidManifest.xml, XML, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 1, 8
android\app\src\main\AndroidManifest.xml, XML, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 9, 2, 37
android\app\src\main\java\com\example\novum_client\MainActivity.java, Java, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 3, 14
android\app\src\main\res\drawable\launch_background.xml, XML, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
android\app\src\main\res\values\styles.xml, XML, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 2, 1, 9
android\app\src\profile\AndroidManifest.xml, XML, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 1, 8
android\build.gradle, Groovy, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
android\gradle.properties, Properties, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3
android\gradle\wrapper\gradle-wrapper.properties, Properties, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
android\settings.gradle, Groovy, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
ios\Runner\AppDelegate.h, C++, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 7
ios\Runner\AppDelegate.m, Objective-C, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 4, 14
ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json, JSON, 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 1, 123
ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json, JSON, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 1, 24
